Year,Population (M),GDP (B),consumption_gj,total_emissions_million_metric_tons,gdp_standardized,population_standardized,energy_consumption_standardized,co2_emissions_standardized,GDP / P ($1000/person),E / GDP (GJ/$1000),CO2 / E (tonnes/GJ)
1950,152.3,299.8,36495436997.978424,2382.0,299800000000.0,152300000.0,36495436997.978424,2382000000.0,1968.4832567301378,121.7326117344177,0.06526843342448387
1951,155.02,324.94,39003304759.65616,2442.6,324940000000.0,155020000.0,39003304759.65616,2442600000.0,2096.1166301122435,120.03232830570616,0.06262546251020636
1952,157.74,350.08,38752201466.7326,2503.2,350080000000.0,157740000.0,38752201466.7326,2503200000.0,2219.348294662102,110.69527384235774,0.06459503990112431
1953,160.46,375.22,39715467460.17466,2563.8,375220000000.0,160460000.0,39715467460.17466,2563800000.0,2338.402093979808,105.84581701448393,0.06455419422095164
1954,163.18,400.36,38627704876.12344,2624.4,400360000000.0,163180000.0,38627704876.12344,2624400000.0,2453.486946929771,96.48242800510401,0.06794087322599884
1955,165.9,425.5,42385813823.155876,2685.0,425500000000.0,165900000.0,42385813823.155876,2685000000.0,2564.7980711271853,99.61413354443215,0.06334666620304816
1956,168.86,448.88,44016930171.3064,2730.6000000000004,448880000000.0,168860000.0,44016930171.3064,2730600000.0000005,2658.296813928698,98.05945947983068,0.062035221206316986
1957,171.82,472.26,44058077349.55858,2776.2,472260000000.0,171820000.0,44058077349.55858,2776200000.0,2748.5740891630776,93.2919945571477,0.06301228212873468
1958,174.78,495.64,43894543692.40248,2821.8,495640000000.0,174780000.0,43894543692.40248,2821800000.0,2835.7935690582444,88.56134228957,0.06428589438756173
1959,177.73999999999998,519.02,45808415009.05517,2867.3999999999996,519020000000.0,177739999.99999997,45808415009.05517,2867399999.9999995,2920.1080229548784,88.25944088677733,0.06259548599167176
1960,180.7,542.4,47510220099.331215,2913.0,542400000000.0,180700000.0,47510220099.331215,2913000000.0,3001.660210293304,87.592588678708,0.06131312365865056
1961,183.42,582.38,48205501906.2078,3022.8,582380000000.0,183420000.0,48205501906.2078,3022800000.0,3175.117217315451,82.77327845428724,0.06270653515611939
1962,186.14,622.36,50408458526.47836,3132.6000000000004,622360000000.0,186140000.0,50408458526.47836,3132600000.0000005,3343.5048887933813,80.99565930727933,0.0621443323515739
1963,188.86,662.3399999999999,52325495010.688896,3242.3999999999996,662339999999.9999,188860000.0,52325495010.688896,3242399999.9999995,3507.042253521126,79.00095873824458,0.06196596896670833
1964,191.58,702.3199999999999,54608635875.75858,3352.2,702319999999.9999,191580000.0,54608635875.75858,3352200000.0,3665.93590145109,77.75463588643153,0.061385895220431266
1965,194.3,742.3,56944529533.45927,3462.0,742300000000.0,194300000.0,56944529533.45927,3462000000.0,3820.380854348945,76.71363267339251,0.06079600671677883
1966,196.46,808.5,60105476867.90878,3621.9999999999995,808500000000.0,196460000.0,60105476867.90878,3621999999.9999995,4115.341545352743,74.34196273087049,0.060260731446485534
1967,198.62,874.6999999999999,62154395333.69682,3782.0,874699999999.9999,198620000.0,62154395333.69682,3782000000.0,4403.886819051454,71.05795739533193,0.06084847225518096
1968,200.78,940.9,65858696432.24565,3942.0,940900000000.0,200780000.0,65858696432.24565,3942000000.0,4686.223727462895,69.99542611568249,0.059855420977781806
1969,202.94,1007.0999999999999,69243315607.4506,4102.0,1007099999999.9999,202940000.0,69243315607.4506,4102000000.0,4962.550507539174,68.75515401395157,0.05924037524798456
1970,205.1,1073.3,71604530605.61415,4262.0,1073300000000.0,205100000.0,71604530605.61415,4262000000.0,5233.057045343735,66.71436747005883,0.05952137335379499
1971,207.28,1195.62,73095324525.36621,4295.0,1195620000000.0,207280000.0,73095324525.36621,4295000000.0,5768.139714395986,61.135916533151175,0.05875888817634991
1972,209.46,1317.94,76660358251.3692,4328.0,1317940000000.0,209460000.0,76660358251.3692,4328000000.0,6292.084407524109,58.16680444585429,0.0564568193877792
1973,211.64,1440.26,79772773016.5982,4361.0,1440260000000.0,211640000.0,79772773016.5982,4361000000.0,6805.2353052353055,55.38775847180246,0.054667774919803944
1974,213.82,1562.58,77894773598.93462,4394.0,1562580000000.0,213820000.0,77894773598.93462,4394000000.0,7307.922551678982,49.85010277805592,0.056409432841077
1975,216.0,1684.9,75855350635.82014,4427.0,1684900000000.0,216000000.0,75855350635.82014,4427000000.0,7800.462962962963,45.02068409746581,0.05836107753629574
1976,218.24,1919.38,80088234716.53159,4491.6,1919380000000.0,218240000.0,80088234716.53159,4491600000.0,8794.813049853372,41.726096300123785,0.05608314399609131
1977,220.48,2153.86,82132932958.90915,4556.2,2153860000000.0002,220480000.0,82132932958.90915,4556200000.0,9768.95863570392,38.13290230512157,0.0554734847016781
1978,222.72,2388.34,84102722235.75067,4620.8,2388340000000.0,222720000.0,84102722235.75067,4620800000.0,10723.50933908046,35.21388170685525,0.054942335719494396
1979,224.95999999999998,2622.82,85121906189.3816,4685.4,2622820000000.0,224959999.99999997,85121906189.3816,4685400000.0,11659.050497866288,32.45434539517832,0.05504341020718909
1980,227.2,2857.3,82277475610.7181,4750.0,2857300000000.0,227200000.0,82277475610.7181,4750000000.0,12576.144366197183,28.79553270945231,0.05773147468055314
1981,229.5,3207.0,80143097620.86781,4717.6,3207000000000.0,229500000.0,80143097620.86781,4717600000.0,13973.856209150326,24.99005226718672,0.05886470750503687
1982,231.7,3343.8,76985315453.97617,4685.200000000001,3343800000000.0,231700000.0,76985315453.97617,4685200000.000001,14431.592576607682,23.02330146957837,0.060858359446496466
1983,233.8,3634.0,76819671685.1148,4652.799999999999,3634000000000.0,233800000.0,76819671685.1148,4652799999.999999,15543.199315654405,21.139150161011226,0.060567819387095385
1984,235.8,4037.6,80656909821.09377,4620.4,4037600000000.0,235800000.0,80656909821.09377,4620400000.0,17122.98558100085,19.976448836213038,0.05728461467527797
1985,237.9,4339.0,80402641360.61234,4588.0,4339000000000.0,237900000.0,80402641360.61234,4588000000.0,18238.755779739386,18.530223867391644,0.057062801947294864
1986,240.1,4579.6,80703332278.60904,4678.6,4579600000000.0,240100000.0,80703332278.60904,4678600000.0,19073.71928363182,17.622353978209677,0.05797282302852437
1987,242.3,4855.2,83181658476.41342,4769.2,4855200000000.0,242300000.0,83181658476.41342,4769200000.0,20037.969459347914,17.132488564098992,0.057334754888931805
1988,244.5,5236.4,87053713455.52881,4859.8,5236400000000.0,244500000.0,87053713455.52881,4859800000.0,21416.76891615542,16.62472566181514,0.05582530379341736
1989,246.8,5641.6,89334744208.89326,4950.4,5641600000000.0,246800000.0,89334744208.89326,4950400000.0,22858.99513776337,15.835001455064743,0.055414050197808574
1990,249.6,5963.1,89067815078.1804,5041.0,5963100000000.0,249600000.0,89067815078.1804,5041000000.0,23890.625,14.936495292411733,0.05659732413526927
1991,253.0,6158.1,88945428599.27649,4994.0,6158100000000.0,253000000.0,88945428599.27649,4994000000.0,24340.316205533596,14.443647975719214,0.056146786615637524
1992,256.5,6520.3,90317001207.68248,5095.0,6520300000000.0,256500000.0,90317001207.68248,5095000000.0,25420.27290448343,13.851663452246441,0.056412413298401375
1993,259.9,6858.6,91941787220.71727,5185.0,6858600000000.0,259899999.99999997,91941787220.71727,5185000000.0,26389.380530973453,13.405328670678749,0.056394379060228476
1994,263.1,7287.2,93658363092.93002,5263.0,7287200000000.0,263100000.00000003,93658363092.93002,5263000000.0,27697.453439756744,12.852448552658089,0.05619359367596387
1995,266.3,7639.7,95730492787.4757,5323.0,7639700000000.0,266300000.0,95730492787.4757,5323000000.0,28688.321441982727,12.530661254692683,0.055604017539293414
1996,269.4,8073.1,98937862579.4405,5513.0,8073100000000.0,269400000.0,98937862579.4405,5513000000.0,29966.963622865627,12.255250471249024,0.05572184254105377
1997,272.6,8577.66,99538189359.58127,5583.0,8577660000000.0,272600000.0,99538189359.58127,5583000000.0,31466.104181951578,11.604352394427066,0.05608902508595407
1998,275.9,9062.8,99982367873.53429,5631.0,9062800000000.0,275900000.0,99982367873.53429,5631000000.0,32848.13338166002,11.032171941732608,0.05631993040135377
1999,279.0,9630.7,101694723522.33655,5693.0,9630700000000.0,279000000.0,101694723522.33655,5693000000.0,34518.637992831544,10.559432182742329,0.05598127221172465
2000,282.2,10252.3,103946212711.82764,5867.0,10252300000000.0,282200000.0,103946212711.82764,5867000000.0,36329.90786676116,10.138818871065775,0.05644265285802392
2001,285.0,10581.8,101243159617.41519,5764.0,10581800000000.0,285000000.0,101243159617.41519,5764000000.0,37129.12280701754,9.567668980458446,0.05693224136604794
2002,287.6,10936.4,102764550156.89323,5810.0,10936400000000.0,287600000.0,102764550156.89323,5810000000.0,38026.42559109875,9.396561039911967,0.0565370061089133
2003,290.1,11458.2,103145425319.68907,5860.0,11458200000000.0,290100000.0,103145425319.68907,5860000000.0,39497.41468459152,9.001887322588981,0.056812989832922864
2004,292.8,12213.7,105322005543.64412,5978.0,12213700000000.0,292800000.0,105322005543.64412,5978000000.0,41713.456284153006,8.623267768460346,0.05675926857965871
2005,295.5,13036.6,105478153809.83188,5999.0,13036600000000.0,295500000.0,105478153809.83188,5999000000.0,44117.089678511,8.090925073242401,0.056874336375053416
2006,298.4,13814.6,104734339433.73479,5913.0,13814600000000.0,298400000.0,104734339433.73479,5913000000.0,46295.576407506705,7.581423959704572,0.05645712792928955
2007,301.2,14451.9,106309537821.69644,6004.0,14451900000000.0,301200000.0,106309537821.69644,6004000000.0,47981.075697211156,7.356094203647717,0.05647658830075977
2008,304.1,14712.8,104028507068.332,5817.0,14712800000000.0,304100000.0,104028507068.332,5817000000.0,48381.45346925354,7.070612464543255,0.055917364998606146
2009,306.8,14448.9,99015936712.53438,5392.0,14448900000000.0,306800000.0,99015936712.53438,5392000000.0,47095.50195567145,6.852835628493129,0.05445588032615591
2010,309.3,14992.1,102795146776.6192,5585.0,14992100000000.0,309300000.0,102795146776.6192,5585000000.0,48471.06369220821,6.856620938802383,0.05433135877646619
2011,311.6,15542.6,102050277344.66953,5446.0,15542600000000.0,311600000.0,102050277344.66953,5446000000.0,49879.97432605905,6.565843381716671,0.053365852026118626
2012,313.9,16197.0,99395756819.47757,5229.0,16197000000000.0,313900000.0,99395756819.47757,5229000000.0,51599.23542529468,6.13667696607258,0.05260787952444391
2013,316.1,16784.9,102273949185.42496,5355.0,16784900000000.002,316100000.0,102273949185.42496,5355000000.0,53099.96836444164,6.093211707274095,0.0523593744316186
2014,318.4,17527.3,103518915091.51653,5413.0,17527300000000.0,318400000.0,103518915091.51653,5413000000.0,55048.0527638191,5.906152978012388,0.0522899606822058
2015,320.7,18238.3,102514501919.82231,5263.0,18238300000000.0,320700000.0,102514501919.82231,5263000000.0,56870.2837542875,5.620836477074196,0.051339077900571066
2016,323.1,18745.1,102477574964.98058,5171.0,18745100000000.0,323100000.0,102477574964.98058,5171000000.0,58016.40359021974,5.46689934782853,0.05045982012910701
2017,325.1,19543.0,102798311944.17708,5132.0,19543000000000.0,325100000.0,102798311944.17708,5132000000.0,60113.81113503537,5.2601090899133744,0.04992299876273112
2018,326.8,20611.9,106599678181.16695,5282.0,20611900000000.0,326800000.0,106599678181.16695,5282000000.0,63071.9094247246,5.171754092595391,0.049549868162108344
2019,328.3,21433.2,105696550371.32422,5130.0,21433200000000.0,328300000.0,105696550371.32422,5130000000.0,65285.40968626257,4.931440492848675,0.048535169615069894
2020,329.5,20932.8,97903907843.87291,5195.6,20932800000000.0,329500000.0,97903907843.87291,5195600000.0,63528.98330804249,4.67705743349542,0.05306836176841285
