mAh,V
21.46484628,4.208365799
78.78116503,4.14334612
131.3211239,4.102697718
183.8610827,4.0670941
236.4010416,4.029388489
288.9410004,3.994625668
341.4809593,3.960703644
394.0209182,3.928042816
446.560877,3.895802387
499.1008359,3.864823153
551.6407947,3.83384392
604.1807536,3.80496668
656.7207124,3.777350635
709.2606713,3.750575388
761.8006301,3.726742931
814.340589,3.705012467
866.8805478,3.684543199
919.4205067,3.666175924
971.9604656,3.649069845
1024.500424,3.635326955
1077.040383,3.622424862
1129.580342,3.610363567
1182.120301,3.599143068
1234.66026,3.58792257
1287.200219,3.57417968
1339.740178,3.564220377
1392.280136,3.552999879
1444.820095,3.540097786
1497.360054,3.526775295
1549.900013,3.513032405
1602.439972,3.496346724
1654.979931,3.475457058
1707.51989,3.45498779
1760.059848,3.434098123
1812.599807,3.410686065
1865.139766,3.374241649
1910.515185,3.310821409
1939.173344,3.200485275
1951.114244,3.11843205
46.09475032,4.171188665
1969.270166,2.837113893
1976.952625,2.633827155